Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
08-11-24 23:55,Departures,Basel,Istanbul Sabiha Gökcen,Pegasus Airlines,Departed,2000-01-01 16:34:00,2000-01-01 16:34:00,0.0
08-11-24 23:55,Departures,Basel,Bucharest,Wizz Air,Departed,2000-01-01 16:52:00,2000-01-01 16:52:00,0.0
08-11-24 23:55,Departures,Basel,Toulouse,easyJet,Departed,2000-01-01 17:18:00,2000-01-01 17:18:00,0.0
08-11-24 23:55,Departures,Basel,Tirana,Wizz Air,Departed,2000-01-01 17:15:00,2000-01-01 17:15:00,0.0
08-11-24 23:55,Departures,Basel,Porto,easyJet,Departed,2000-01-01 17:11:00,2000-01-01 17:11:00,0.0
08-11-24 23:55,Departures,Basel,Wroclaw,Sprintair,Cancelled,,,
08-11-24 23:55,Departures,Basel,Madrid,easyJet,Departed,2000-01-01 17:37:00,2000-01-01 17:37:00,0.0
08-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 18:16:00,2000-01-01 18:16:00,0.0
08-11-24 23:55,Departures,Basel,Pristina,easyJet,Departed,2000-01-01 18:08:00,2000-01-01 18:08:00,0.0
08-11-24 23:55,Departures,Basel,Nantes,easyJet,Departed,2000-01-01 18:40:00,2000-01-01 18:40:00,0.0
08-11-24 23:55,Departures,Basel,Palma,easyJet,Departed,2000-01-01 18:40:00,2000-01-01 18:49:00,9.0
08-11-24 23:55,Departures,Basel,Budapest,easyJet,Departed,2000-01-01 18:47:00,2000-01-01 18:47:00,0.0
08-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 19:08:00,2000-01-01 19:08:00,0.0
08-11-24 23:55,Departures,Basel,Berlin,easyJet,Departed,2000-01-01 19:24:00,2000-01-01 19:24:00,0.0
08-11-24 23:55,Departures,Basel,Montpellier,easyJet,Departed,2000-01-01 19:29:00,2000-01-01 19:29:00,0.0
